,m,R,|R|
0,16,F₂ × F₂ × F₅,20
1,,F₄ × F₁₃,52
2,,F₈ × F₉,72
3,17,F₂ × F₁₆,32
4,,F₁₆ × F₂,32
5,,F₉ × F₉,81
6,,F₅ × F₁₃,65
7,,F₇ × F₁₁,77
8,18,F₂ × F₄ × F₃,24
9,,F₂ × F₁₇,34
10,,F₄ × F₂ × F₃,24
11,,F₈ × F₁₁,88
12,,F₁₆ × F₃,48
13,19,F₄ × F₁₆,64
14,,F₁₆ × F₄,64
15,,F₃ × F₃ × F₃,27
16,,F₃ × F₁₇,51
17,,F₉ × F₁₁,99
18,,F₇ × F₁₃,91
19,20,F₂ × F₁₉,38
20,,F₄ × F₁₇,68
21,,F₈ × F₁₃,104
22,,F₁₆ × F₅,80
23,21,F₃ × F₁₉,57
24,,F₉ × F₁₃,117
25,,F₅ × F₁₇,85
26,,F₁₁ × F₁₁,121
27,22,F₂ × F₂ × F₂ × F₃,24
28,,F₂ × F₂ × F₇,28
29,,F₂ × F₃ × F₅,30
30,,F₄ × F₁₉,76
31,,F₁₆ × F₇,112
32,23,F₂ × F₄ × F₄,32
33,,F₄ × F₂ × F₄,32
34,,F₄ × F₄ × F₂,32
35,,F₈ × F₁₆,128
36,,F₁₆ × F₈,128
37,,F₅ × F₁₉,95
38,,F₇ × F₁₇,119
39,,F₁₁ × F₁₃,143
40,24,F₂ × F₂₃,46
41,,F₄ × F₃ × F₃,36
42,,F₈ × F₁₇,136
43,,F₁₆ × F₉,144
44,25,F₂ × F₂ × F₈,32
45,,F₂ × F₈ × F₂,32
46,,F₈ × F₂ × F₂,32
47,,F₃ × F₂₃,69
48,,F₉ × F₁₇,153
49,,F₇ × F₁₉,133
50,,F₁₃ × F₁₃,169
51,26,F₂ × F₂₅,50
52,,F₄ × F₂₃,92
53,,F₈ × F₁₉,152
54,,F₁₆ × F₁₁,176
55,27,F₃ × F₂₅,75
56,,F₉ × F₁₉,171
57,,F₅ × F₂₃,115
58,,F₁₁ × F₁₇,187
59,28,F₂ × F₂ × F₉,36
60,,F₂ × F₄ × F₅,40
61,,F₂ × F₂₇,54
62,,F₄ × F₂ × F₅,40
63,,F₄ × F₂₅,100
64,,F₁₆ × F₁₃,208
65,29,F₂ × F₂ × F₂ × F₄,32
66,,F₂ × F₂ × F₄ × F₂,32
67,,F₂ × F₄ × F₂ × F₂,32
68,,F₄ × F₂ × F₂ × F₂,32
69,,F₃ × F₃ × F₅,45
70,,F₃ × F₂₇,81
71,,F₂₇ × F₃,81
72,,F₅ × F₂₅,125
73,,F₂₅ × F₅,125
74,,F₇ × F₂₃,161
75,,F₁₁ × F₁₉,209
76,,F₁₃ × F₁₇,221
77,30,F₂ × F₃ × F₇,42
78,,F₂ × F₂₉,58
79,,F₄ × F₄ × F₃,48
80,,F₄ × F₂₇,108
81,,F₈ × F₂₃,184
82,31,F₂ × F₂ × F₂ × F₂ × F₂,32
83,,F₁₆ × F₁₆,256
84,,F₃ × F₂₉,87
85,,F₉ × F₂₃,207
86,,F₂₇ × F₅,135
87,,F₂₅ × F₇,175
88,,F₁₃ × F₁₉,247
89,32,F₂ × F₂ × F₃ × F₃,36
90,,F₂ × F₃₁,62
91,,F₄ × F₂₉,116
92,,F₈ × F₂₅,200
93,,F₁₆ × F₁₇,272
94,33,F₂ × F₃₂,64
95,,F₃₂ × F₂,64
96,,F₃ × F₃₁,93
97,,F₉ × F₂₅,225
98,,F₂₇ × F₇,189
99,,F₅ × F₂₉,145
100,,F₁₁ × F₂₃,253
101,,F₁₇ × F₁₇,289
102,34,F₂ × F₂ × F₁₁,44
103,,F₂ × F₈ × F₃,48
104,,F₂ × F₅ × F₅,50
105,,F₄ × F₃₁,124
106,,F₈ × F₂ × F₃,48
107,,F₈ × F₂₇,216
108,,F₁₆ × F₁₉,304
109,,F₃₂ × F₃,96
110,35,F₄ × F₃₂,128
111,,F₃₂ × F₄,128
112,,F₉ × F₂₇,243
113,,F₂₇ × F₉,243
114,,F₅ × F₃₁,155
115,,F₂₅ × F₁₁,275
116,,F₇ × F₂₉,203
117,,F₁₃ × F₂₃,299
118,,F₁₇ × F₁₉,323
119,36,F₂ × F₂ × F₂ × F₅,40
120,,F₄ × F₃ × F₅,60
121,,F₈ × F₂₉,232
122,,F₃₂ × F₅,160
123,37,F₄ × F₄ × F₄,64
124,,F₉ × F₂₉,261
125,,F₂₇ × F₁₁,297
126,,F₂₅ × F₁₃,325
127,,F₇ × F₃₁,217
128,,F₁₉ × F₁₉,361
129,38,F₂ × F₄ × F₇,56
130,,F₂ × F₃ × F₉,54
131,,F₂ × F₉ × F₃,54
132,,F₂ × F₃₇,74
133,,F₄ × F₂ × F₇,56
134,,F₈ × F₃₁,248
135,,F₁₆ × F₂₃,368
136,,F₃₂ × F₇,224
137,39,F₈ × F₃₂,256
138,,F₃₂ × F₈,256
139,,F₃ × F₃ × F₇,63
140,,F₃ × F₃₇,111
141,,F₉ × F₃₁,279
142,,F₂₇ × F₁₃,351
143,,F₁₁ × F₂₉,319
144,,F₁₇ × F₂₃,391
145,40,F₂ × F₂ × F₁₃,52
146,,F₄ × F₃₇,148
147,,F₁₆ × F₂₅,400
148,,F₃₂ × F₉,288
149,41,F₅ × F₃₇,185
150,,F₂₅ × F₁₇,425
151,,F₁₁ × F₃₁,341
